NM_059121	chrI	+	5107833	5110183	WBGene00000001
NM_069306	chrIV	-	9598986	9601695	WBGene00000002
NM_072993	chrV	-	9244402	9246360	WBGene00000003
NM_076060	chrX	+	2552436	2557726	WBGene00000004
NM_001313422	chrX	+	2552436	2557726	WBGene00000004
NM_001028211	chrIV	-	6272529	6275713	WBGene00000005
NM_058601	chrI	-	2571782	2576020	WBGene00000006
NM_073504	chrV	-	11466844	11470663	WBGene00000007
NM_001129542	chrV	-	11466844	11470663	WBGene00000007
NM_061559	chrII	+	1386888	1391567	WBGene00000008
NM_068024	chrIV	-	3862129	3865042	WBGene00000009
NM_001026617	chrI	-	11388689	11396660	WBGene00000010
NM_001026618	chrI	-	11388689	11396660	WBGene00000010
NM_058852	chrI	-	3886111	3887080	WBGene00000012
NM_058851	chrI	-	3885548	3885905	WBGene00000013
NM_075564	chrV	-	20557945	20558379	WBGene00000015
NM_077735	chrX	+	12792727	12793386	WBGene00000016
NM_171787	chrX	+	12794118	12794870	WBGene00000017
NM_077377	chrX	-	10605832	10624185	WBGene00000018
NM_077376	chrX	-	10605832	10624185	WBGene00000018
NM_077378	chrX	-	10605832	10624185	WBGene00000018
NM_001306925	chrIV	-	10206189	10214911	WBGene00000019
NM_001306926	chrIV	-	10206189	10214911	WBGene00000019
NM_058548	chrI	-	2255923	2272866	WBGene00000020
NM_001306432	chrI	-	2255923	2272866	WBGene00000020
NM_070774	chrV	-	323774	330725	WBGene00000022
NM_060640	chrI	+	12011195	12018668	WBGene00000023
NM_071992	chrV	-	5163269	5194608	WBGene00000031
NM_076258	chrX	+	3798179	3799741	WBGene00000033
NM_061278	chrII	-	192531	194558	WBGene00000034
NM_078259	chrX	+	16367229	16373789	WBGene00000035
NM_058740	chrI	-	3302001	3307587	WBGene00000036
NM_064562	chrII	+	14205633	14210214	WBGene00000037
NM_064561	chrII	+	14198046	14205325	WBGene00000038
NM_001029282	chrX	-	5092458	5097067	WBGene00000039
NM_001029283	chrX	-	5092458	5097067	WBGene00000039
NM_077497	chrX	+	11339874	11343568	WBGene00000040
NM_171200	chrIII	+	7973717	7977355	WBGene00000041
NM_066337	chrIII	+	7973717	7977355	WBGene00000041
